model,model_id,condition,question_id,domain,confidence_tier,pass1,pass2,ground_truth,reversal,pass1_correct,pass2_correct,logodds1,logodds2,duplicate_removed
GPT-4o-mini,openai/gpt-4o-mini,A0,q0001,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0001,Medicine,High,Yes,No,Yes,True,True,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0001,Medicine,High,Yes,No,Yes,True,True,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0002,Medicine,High,Yes,No,No,True,False,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0002,Medicine,High,Yes,No,No,True,False,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0002,Medicine,High,Yes,No,No,True,False,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0003,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0003,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0003,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0004,Medicine,Medium,No,No,No,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0004,Medicine,Medium,No,No,No,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0004,Medicine,Medium,No,No,No,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0005,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0005,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0005,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0006,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0006,Medicine,High,Yes,No,Yes,True,True,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0006,Medicine,High,Yes,No,Yes,True,True,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0007,Medicine,High,Yes,Yes,No,False,False,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0007,Medicine,High,Yes,Yes,No,False,False,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0007,Medicine,High,Yes,Yes,No,False,False,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0008,Medicine,High,No,No,No,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0008,Medicine,High,No,No,No,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0008,Medicine,High,No,No,No,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0009,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0009,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0009,Medicine,High,Yes,No,Yes,True,True,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0010,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0010,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0010,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0011,Medicine,High,No,No,No,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0011,Medicine,High,No,No,No,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0011,Medicine,High,No,No,No,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0012,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0012,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0012,Medicine,High,Yes,No,Yes,True,True,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0013,Medicine,High,No,No,No,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0013,Medicine,High,No,No,No,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0013,Medicine,High,No,No,No,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0014,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0014,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0014,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0015,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0015,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0015,Medicine,High,Yes,No,Yes,True,True,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0016,Medicine,High,No,No,Yes,False,False,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0016,Medicine,High,No,No,Yes,False,False,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0016,Medicine,High,No,No,Yes,False,False,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0017,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0017,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0017,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0018,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0018,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0018,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0019,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0019,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0019,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0020,Medicine,Medium,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0020,Medicine,Medium,Yes,No,Yes,True,True,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0020,Medicine,Medium,Yes,No,Yes,True,True,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0021,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0021,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0021,Medicine,High,Yes,No,Yes,True,True,False,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0022,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A1,q0022,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A3,q0022,Medicine,High,Yes,Yes,Yes,False,True,True,,,0
GPT-4o-mini,openai/gpt-4o-mini,A0,q0023,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0023,Medicine,High,Yes,Yes,Yes,False,True,True,,,21
GPT-4o-mini,openai/gpt-4o-mini,A0,q0024,Medicine,Boundary,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0023,Medicine,High,Yes,No,Yes,True,True,False,,,21
GPT-4o-mini,openai/gpt-4o-mini,A1,q0024,Medicine,Boundary,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0025,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0024,Medicine,Boundary,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0025,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0026,Medicine,Medium,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0025,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0027,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
