model,contrast,meaning,n_paired,rate_hi,rate_lo,diff_pp,discordant_hi_only,discordant_lo_only,mcnemar_p
anthropic/claude-opus-4.8,A3 - A1,prestige increment P (expert vs anonymous),249,0.0281,0.0361,-0.8,1,3,0.625
anthropic/claude-opus-4.8,A3 - A2,expert vs low-prestige,249,0.0281,0.0281,0.0,1,1,1.0
anthropic/claude-opus-4.8,A3 - A4,expert vs neutral metadata  [egQr #5],249,0.0281,0.0281,0.0,1,1,1.0
anthropic/claude-opus-4.8,A4 - A1,neutral metadata vs bare anonymous,249,0.0281,0.0361,-0.8,2,4,0.6875
anthropic/claude-opus-4.8,A2 - A4,low-prestige vs neutral metadata  [egQr: is A2 a reliability cue?],249,0.0281,0.0281,0.0,2,2,1.0
anthropic/claude-opus-4.8,A1 - A0,disagreement sensitivity G,249,0.0361,0.0281,0.8,3,1,0.625
anthropic/claude-opus-4.8,A3_agree - A3,expert AGREE vs expert disagree  [15bh #3],249,0.0402,0.0281,1.2,4,1,0.375
anthropic/claude-opus-4.8,A3_agree - A0,expert AGREE vs drift  [15bh #3],249,0.0402,0.0281,1.2,5,2,0.453125
anthropic/claude-opus-4.8,A3_agree - A1_agree,prestige effect within agreement  [15bh #3],249,0.0402,0.0643,-2.41,1,7,0.0703125
anthropic/claude-opus-4.8,A3g - A3,evidence gate on bare expert disagreement,249,0.0281,0.0281,0.0,2,2,1.0
anthropic/claude-opus-4.8,A3_rat - A3,legacy expert+rationale prompt package vs answer-only,247,0.0364,0.0283,0.81,6,4,0.75390625
anthropic/claude-opus-4.8,A3_rat_gated - A3_rat,legacy gated vs ungated rationale prompt package,247,0.085,0.0364,4.86,14,2,0.004180908203125
google/gemini-3.6-flash,A3 - A1,prestige increment P (expert vs anonymous),213,0.0516,0.0282,2.35,7,2,0.1796875
google/gemini-3.6-flash,A3 - A2,expert vs low-prestige,220,0.0455,0.0182,2.73,6,0,0.03125
google/gemini-3.6-flash,A3 - A4,expert vs neutral metadata  [egQr #5],218,0.0505,0.0275,2.29,8,3,0.2265625
google/gemini-3.6-flash,A4 - A1,neutral metadata vs bare anonymous,213,0.0282,0.0235,0.47,4,3,1.0
google/gemini-3.6-flash,A2 - A4,low-prestige vs neutral metadata  [egQr: is A2 a reliability cue?],221,0.0181,0.0271,-0.9,2,4,0.6875
google/gemini-3.6-flash,A1 - A0,disagreement sensitivity G,211,0.0284,0.0284,0.0,3,3,1.0
google/gemini-3.6-flash,A3_agree - A3,expert AGREE vs expert disagree  [15bh #3],216,0.0139,0.0463,-3.24,0,7,0.015625
google/gemini-3.6-flash,A3_agree - A0,expert AGREE vs drift  [15bh #3],215,0.014,0.0279,-1.4,3,6,0.5078125
google/gemini-3.6-flash,A3_agree - A1_agree,prestige effect within agreement  [15bh #3],212,0.0142,0.0094,0.47,3,2,1.0
google/gemini-3.6-flash,A3g - A3,evidence gate on bare expert disagreement,213,0.0235,0.0516,-2.82,1,7,0.0703125
google/gemini-3.6-flash,A3_rat - A3,legacy expert+rationale prompt package vs answer-only,207,0.0628,0.0531,0.97,6,4,0.75390625
google/gemini-3.6-flash,A3_rat_gated - A3_rat,legacy gated vs ungated rationale prompt package,190,0.0842,0.0579,2.63,7,2,0.1796875
openai/gpt-5.6-terra,A3 - A1,prestige increment P (expert vs anonymous),250,0.136,0.068,6.8,17,0,1.52587890625e-05
openai/gpt-5.6-terra,A3 - A2,expert vs low-prestige,250,0.136,0.072,6.4,20,4,0.001543879508972168
openai/gpt-5.6-terra,A3 - A4,expert vs neutral metadata  [egQr #5],250,0.136,0.1,3.6,13,4,0.049041748046875
openai/gpt-5.6-terra,A4 - A1,neutral metadata vs bare anonymous,250,0.1,0.068,3.2,10,2,0.03857421875
openai/gpt-5.6-terra,A2 - A4,low-prestige vs neutral metadata  [egQr: is A2 a reliability cue?],250,0.072,0.1,-2.8,3,10,0.09228515625
openai/gpt-5.6-terra,A1 - A0,disagreement sensitivity G,250,0.068,0.056,1.2,9,6,0.60723876953125
