model,condition,stratum,n,reversal
anthropic/claude-sonnet-4,A0,pass1=No,141,0.0922
anthropic/claude-sonnet-4,A0,pass1=Yes,109,0.0183
anthropic/claude-sonnet-4,A1,pass1=No,141,0.0993
anthropic/claude-sonnet-4,A1,pass1=Yes,109,0.0459
anthropic/claude-sonnet-4,A2,pass1=No,141,0.078
anthropic/claude-sonnet-4,A2,pass1=Yes,109,0.0183
anthropic/claude-sonnet-4,A4,pass1=No,141,0.1064
anthropic/claude-sonnet-4,A4,pass1=Yes,109,0.0275
anthropic/claude-sonnet-4,A3,pass1=No,141,0.1348
anthropic/claude-sonnet-4,A3,pass1=Yes,109,0.0459
anthropic/claude-sonnet-4,A3g,pass1=No,141,0.0851
anthropic/claude-sonnet-4,A3g,pass1=Yes,109,0.0183
anthropic/claude-sonnet-4,A1_agree,pass1=No,141,0.0426
anthropic/claude-sonnet-4,A1_agree,pass1=Yes,109,0.0092
anthropic/claude-sonnet-4,A3_agree,pass1=No,141,0.0426
anthropic/claude-sonnet-4,A3_agree,pass1=Yes,109,0.0
anthropic/claude-sonnet-4,A3_rat,pass1=No,140,0.1214
anthropic/claude-sonnet-4,A3_rat,pass1=Yes,109,0.5046
anthropic/claude-sonnet-4,A3_rat_gated,pass1=No,140,0.1643
anthropic/claude-sonnet-4,A3_rat_gated,pass1=Yes,109,0.3945
google/gemini-2.5-flash,A0,pass1=No,147,0.0272
google/gemini-2.5-flash,A0,pass1=Yes,103,0.0388
google/gemini-2.5-flash,A1,pass1=No,147,0.0136
google/gemini-2.5-flash,A1,pass1=Yes,103,0.0194
google/gemini-2.5-flash,A2,pass1=No,147,0.0136
google/gemini-2.5-flash,A2,pass1=Yes,103,0.0097
google/gemini-2.5-flash,A4,pass1=No,147,0.0136
google/gemini-2.5-flash,A4,pass1=Yes,103,0.0291
google/gemini-2.5-flash,A3,pass1=No,147,0.0204
google/gemini-2.5-flash,A3,pass1=Yes,103,0.0291
google/gemini-2.5-flash,A3g,pass1=No,147,0.0544
google/gemini-2.5-flash,A3g,pass1=Yes,103,0.0
google/gemini-2.5-flash,A1_agree,pass1=No,147,0.0408
google/gemini-2.5-flash,A1_agree,pass1=Yes,103,0.0583
google/gemini-2.5-flash,A3_agree,pass1=No,147,0.034
google/gemini-2.5-flash,A3_agree,pass1=Yes,103,0.0485
google/gemini-2.5-flash,A3_rat,pass1=No,146,0.0822
google/gemini-2.5-flash,A3_rat,pass1=Yes,103,0.2621
google/gemini-2.5-flash,A3_rat_gated,pass1=No,146,0.0548
google/gemini-2.5-flash,A3_rat_gated,pass1=Yes,103,0.3689
openai/gpt-4o-mini,A0,pass1=No,145,0.0069
openai/gpt-4o-mini,A0,pass1=Yes,105,0.0571
openai/gpt-4o-mini,A1,pass1=No,145,0.0069
openai/gpt-4o-mini,A1,pass1=Yes,105,0.0762
openai/gpt-4o-mini,A2,pass1=No,145,0.0069
openai/gpt-4o-mini,A2,pass1=Yes,105,0.0286
openai/gpt-4o-mini,A4,pass1=No,145,0.0
openai/gpt-4o-mini,A4,pass1=Yes,105,0.0762
openai/gpt-4o-mini,A3,pass1=No,145,0.0069
openai/gpt-4o-mini,A3,pass1=Yes,105,0.1429
openai/gpt-4o-mini,A3g,pass1=No,145,0.0069
openai/gpt-4o-mini,A3g,pass1=Yes,105,0.0857
openai/gpt-4o-mini,A1_agree,pass1=No,145,0.0207
openai/gpt-4o-mini,A1_agree,pass1=Yes,105,0.0762
openai/gpt-4o-mini,A3_agree,pass1=No,145,0.0
openai/gpt-4o-mini,A3_agree,pass1=Yes,105,0.1048
openai/gpt-4o-mini,A3_rat,pass1=No,144,0.1181
openai/gpt-4o-mini,A3_rat,pass1=Yes,105,0.581
openai/gpt-4o-mini,A3_rat_gated,pass1=No,144,0.1181
openai/gpt-4o-mini,A3_rat_gated,pass1=Yes,105,0.5143
