model,condition,stratum_type,stratum,n,reversal,ci_lo,ci_hi
Claude-Sonnet-4,A0,initial answer,pass1=Yes (Yes->No),1139,0.0922,0.0767,0.1104
Claude-Sonnet-4,A0,initial answer,pass1=No (No->Yes),846,0.0071,0.0033,0.0154
Claude-Sonnet-4,A0,true label,true=Yes,1375,0.0742,0.0615,0.0893
Claude-Sonnet-4,A0,true label,true=No,610,0.0148,0.0078,0.0278
Claude-Sonnet-4,A1,initial answer,pass1=Yes (Yes->No),1138,0.3295,0.3028,0.3574
Claude-Sonnet-4,A1,initial answer,pass1=No (No->Yes),848,0.0519,0.0389,0.0689
Claude-Sonnet-4,A1,true label,true=Yes,1376,0.2762,0.2532,0.3004
Claude-Sonnet-4,A1,true label,true=No,610,0.0639,0.0471,0.0862
Claude-Sonnet-4,A3,initial answer,pass1=Yes (Yes->No),1137,0.3448,0.3177,0.3729
Claude-Sonnet-4,A3,initial answer,pass1=No (No->Yes),847,0.0933,0.0755,0.1147
Claude-Sonnet-4,A3,true label,true=Yes,1374,0.3071,0.2833,0.332
Claude-Sonnet-4,A3,true label,true=No,610,0.0803,0.0613,0.1046
GPT-4o-mini,A0,initial answer,pass1=Yes (Yes->No),1215,0.0502,0.0393,0.064
GPT-4o-mini,A0,initial answer,pass1=No (No->Yes),773,0.0091,0.0044,0.0186
GPT-4o-mini,A0,true label,true=Yes,1378,0.0385,0.0295,0.05
GPT-4o-mini,A0,true label,true=No,610,0.0246,0.015,0.0402
GPT-4o-mini,A1,initial answer,pass1=Yes (Yes->No),1214,0.168,0.1481,0.1901
GPT-4o-mini,A1,initial answer,pass1=No (No->Yes),772,0.0311,0.021,0.0458
GPT-4o-mini,A1,true label,true=Yes,1377,0.1365,0.1194,0.1557
GPT-4o-mini,A1,true label,true=No,609,0.0657,0.0486,0.0882
GPT-4o-mini,A3,initial answer,pass1=Yes (Yes->No),1214,0.2669,0.2428,0.2925
GPT-4o-mini,A3,initial answer,pass1=No (No->Yes),772,0.0531,0.0394,0.0713
GPT-4o-mini,A3,true label,true=Yes,1377,0.2302,0.2087,0.2532
GPT-4o-mini,A3,true label,true=No,609,0.0788,0.06,0.103
Gemini-2.0-Flash,A0,initial answer,pass1=Yes (Yes->No),1345,0.0706,0.0581,0.0856
Gemini-2.0-Flash,A0,initial answer,pass1=No (No->Yes),641,0.0218,0.0131,0.0363
Gemini-2.0-Flash,A0,true label,true=Yes,1376,0.0596,0.0483,0.0734
Gemini-2.0-Flash,A0,true label,true=No,610,0.0443,0.0306,0.0636
Gemini-2.0-Flash,A1,initial answer,pass1=Yes (Yes->No),1344,0.1845,0.1647,0.2062
Gemini-2.0-Flash,A1,initial answer,pass1=No (No->Yes),640,0.0266,0.0166,0.0421
Gemini-2.0-Flash,A1,true label,true=Yes,1375,0.1564,0.1381,0.1765
Gemini-2.0-Flash,A1,true label,true=No,609,0.0821,0.0628,0.1066
Gemini-2.0-Flash,A3,initial answer,pass1=Yes (Yes->No),1345,0.1435,0.1258,0.1632
Gemini-2.0-Flash,A3,initial answer,pass1=No (No->Yes),642,0.0545,0.0395,0.0749
Gemini-2.0-Flash,A3,true label,true=Yes,1377,0.1314,0.1146,0.1503
Gemini-2.0-Flash,A3,true label,true=No,610,0.077,0.0584,0.101
Llama-3.1-8B,A0,initial answer,pass1=Yes (Yes->No),1538,0.117,0.1019,0.1341
Llama-3.1-8B,A0,initial answer,pass1=No (No->Yes),450,0.18,0.1473,0.2182
Llama-3.1-8B,A0,true label,true=Yes,1379,0.0928,0.0786,0.1093
Llama-3.1-8B,A0,true label,true=No,609,0.2184,0.1874,0.2529
Llama-3.1-8B,A1,initial answer,pass1=Yes (Yes->No),1539,0.1787,0.1604,0.1986
Llama-3.1-8B,A1,initial answer,pass1=No (No->Yes),449,0.1915,0.1578,0.2305
Llama-3.1-8B,A1,true label,true=Yes,1379,0.1204,0.1042,0.1386
Llama-3.1-8B,A1,true label,true=No,609,0.3202,0.2844,0.3583
Llama-3.1-8B,A3,initial answer,pass1=Yes (Yes->No),1540,0.2208,0.2008,0.2422
Llama-3.1-8B,A3,initial answer,pass1=No (No->Yes),449,0.2784,0.239,0.3216
Llama-3.1-8B,A3,true label,true=Yes,1379,0.1697,0.1508,0.1904
Llama-3.1-8B,A3,true label,true=No,610,0.3787,0.3411,0.4178
Mistral-7B,A0,initial answer,pass1=Yes (Yes->No),1371,0.0525,0.0419,0.0656
Mistral-7B,A0,initial answer,pass1=No (No->Yes),610,0.0246,0.015,0.0402
Mistral-7B,A0,true label,true=Yes,1375,0.0385,0.0296,0.0501
Mistral-7B,A0,true label,true=No,606,0.0561,0.0404,0.0774
Mistral-7B,A1,initial answer,pass1=Yes (Yes->No),1371,0.0992,0.0845,0.1162
Mistral-7B,A1,initial answer,pass1=No (No->Yes),609,0.202,0.172,0.2357
Mistral-7B,A1,true label,true=Yes,1375,0.0858,0.0721,0.1018
Mistral-7B,A1,true label,true=No,605,0.2331,0.2011,0.2684
Mistral-7B,A3,initial answer,pass1=Yes (Yes->No),1370,0.119,0.1029,0.1372
Mistral-7B,A3,initial answer,pass1=No (No->Yes),610,0.3197,0.2839,0.3577
Mistral-7B,A3,true label,true=Yes,1376,0.1185,0.1024,0.1366
Mistral-7B,A3,true label,true=No,604,0.3228,0.2868,0.3612
