model,condition,stratum,n,reversal
anthropic/claude-sonnet-4,A0,pass1=No,270,0.0852
anthropic/claude-sonnet-4,A0,pass1=Yes,230,0.0087
anthropic/claude-sonnet-4,A1,pass1=No,270,0.1
anthropic/claude-sonnet-4,A1,pass1=Yes,230,0.0435
anthropic/claude-sonnet-4,A2,pass1=No,270,0.0815
anthropic/claude-sonnet-4,A2,pass1=Yes,230,0.0174
anthropic/claude-sonnet-4,A4,pass1=No,270,0.0963
anthropic/claude-sonnet-4,A4,pass1=Yes,230,0.0217
anthropic/claude-sonnet-4,A3,pass1=No,270,0.1111
anthropic/claude-sonnet-4,A3,pass1=Yes,230,0.0391
anthropic/claude-sonnet-4,A3g,pass1=No,270,0.0667
anthropic/claude-sonnet-4,A3g,pass1=Yes,230,0.0348
anthropic/claude-sonnet-4,A1_agree,pass1=No,270,0.0481
anthropic/claude-sonnet-4,A1_agree,pass1=Yes,230,0.0043
anthropic/claude-sonnet-4,A3_agree,pass1=No,270,0.0333
anthropic/claude-sonnet-4,A3_agree,pass1=Yes,230,0.0087
anthropic/claude-sonnet-4,A3_rat,pass1=No,268,0.1716
anthropic/claude-sonnet-4,A3_rat,pass1=Yes,230,0.4957
anthropic/claude-sonnet-4,A3_rat_gated,pass1=No,268,0.1716
anthropic/claude-sonnet-4,A3_rat_gated,pass1=Yes,230,0.3783
google/gemini-2.5-flash,A0,pass1=No,278,0.0683
google/gemini-2.5-flash,A0,pass1=Yes,222,0.0676
google/gemini-2.5-flash,A1,pass1=No,278,0.0396
google/gemini-2.5-flash,A1,pass1=Yes,222,0.0586
google/gemini-2.5-flash,A2,pass1=No,278,0.0468
google/gemini-2.5-flash,A2,pass1=Yes,222,0.0495
google/gemini-2.5-flash,A4,pass1=No,278,0.0324
google/gemini-2.5-flash,A4,pass1=Yes,222,0.0495
google/gemini-2.5-flash,A3,pass1=No,278,0.036
google/gemini-2.5-flash,A3,pass1=Yes,222,0.0586
google/gemini-2.5-flash,A3g,pass1=No,278,0.0647
google/gemini-2.5-flash,A3g,pass1=Yes,222,0.0631
google/gemini-2.5-flash,A1_agree,pass1=No,278,0.054
google/gemini-2.5-flash,A1_agree,pass1=Yes,222,0.0811
google/gemini-2.5-flash,A3_agree,pass1=No,278,0.054
google/gemini-2.5-flash,A3_agree,pass1=Yes,222,0.0856
google/gemini-2.5-flash,A3_rat,pass1=No,276,0.0906
google/gemini-2.5-flash,A3_rat,pass1=Yes,222,0.2748
google/gemini-2.5-flash,A3_rat_gated,pass1=No,276,0.0797
google/gemini-2.5-flash,A3_rat_gated,pass1=Yes,222,0.3468
openai/gpt-4o-mini,A0,pass1=No,266,0.0113
openai/gpt-4o-mini,A0,pass1=Yes,234,0.0598
openai/gpt-4o-mini,A1,pass1=No,266,0.0038
openai/gpt-4o-mini,A1,pass1=Yes,234,0.0598
openai/gpt-4o-mini,A2,pass1=No,266,0.0075
openai/gpt-4o-mini,A2,pass1=Yes,234,0.0214
openai/gpt-4o-mini,A4,pass1=No,266,0.0038
openai/gpt-4o-mini,A4,pass1=Yes,234,0.0897
openai/gpt-4o-mini,A3,pass1=No,266,0.0075
openai/gpt-4o-mini,A3,pass1=Yes,234,0.1496
openai/gpt-4o-mini,A3g,pass1=No,266,0.0075
openai/gpt-4o-mini,A3g,pass1=Yes,234,0.1154
openai/gpt-4o-mini,A1_agree,pass1=No,266,0.0113
openai/gpt-4o-mini,A1_agree,pass1=Yes,234,0.1026
openai/gpt-4o-mini,A3_agree,pass1=No,266,0.0038
openai/gpt-4o-mini,A3_agree,pass1=Yes,234,0.1111
openai/gpt-4o-mini,A3_rat,pass1=No,264,0.1098
openai/gpt-4o-mini,A3_rat,pass1=Yes,234,0.5897
openai/gpt-4o-mini,A3_rat_gated,pass1=No,264,0.1098
openai/gpt-4o-mini,A3_rat_gated,pass1=Yes,234,0.5171
